Connection#,Topic,Count,Size (Bytes),Publish Time (UTC),Log Time (UTC),Travel Elapsed (ms),E2E Elapsed (ms),MDS Elapsed (ms)
1_0,nbbo,3837,186951,14:18:10.9123050,14:18:10.9409360,28.631,255.824,227.193
1_2,nbbo,3861,187565,14:18:10.9101829,14:18:10.9415130,31.3301,256.401,225.0709
1_3,nbbo,4078,199343,14:18:10.9113170,14:18:10.9415470,30.23,256.435,226.205
1_1,nbbo,2761,133989,14:18:10.9120249,14:18:10.9415750,29.5501,256.463,226.9129
1_7,nbbo,4185,202133,14:18:10.9109870,14:18:10.9416120,30.625,256.5,225.875
1_4,nbbo,4667,226705,14:18:10.9105909,14:18:10.9416590,31.0681,256.547,225.4789
1_5,nbbo,2696,131145,14:18:10.9127039,14:18:10.9416900,28.9861,256.578,227.5919
1_6,nbbo,3053,148729,14:18:10.9116970,14:18:10.9417190,30.022,256.607,226.585
1_3,trade,1357,76272,14:18:10.9195100,14:18:10.9421820,22.672,249.252,226.58
1_5,trade,1042,58875,14:18:10.9199869,14:18:10.9423900,22.4031,249.46,227.0569
1_2,trade,1654,91869,14:18:10.9191030,14:18:10.9436420,24.539,250.712,226.173
1_4,trade,1686,96015,14:18:10.9192390,14:18:10.9479980,28.759,255.068,226.309
1_0,trade,1434,81593,14:18:10.9198599,14:18:10.9479890,28.1291,255.059,226.9299
1_1,trade,1147,62333,14:18:10.9197609,14:18:10.9479800,28.2191,255.05,226.8309
1_6,trade,1224,68728,14:18:10.9196400,14:18:10.9480360,28.396,255.106,226.71
1_7,trade,1561,85431,14:18:10.9193659,14:18:10.9480340,28.6681,255.104,226.4359
1_5,nbbo,3055,148251,14:18:11.9076259,14:18:11.9214860,13.8601,219.869,206.0089
1_6,nbbo,2829,138471,14:18:11.9068010,14:18:11.9214820,14.681,219.865,205.184
1_1,nbbo,3197,155407,14:18:11.9070499,14:18:11.9221120,15.0621,220.495,205.4329
1_7,nbbo,3803,184401,14:18:11.9060520,14:18:11.9225840,16.532,220.967,204.435
1_0,nbbo,3449,168415,14:18:11.9073209,14:18:11.9226730,15.3521,221.056,205.7039
1_2,nbbo,4043,196439,14:18:11.9054880,14:18:11.9227250,17.237,221.108,203.871
1_3,nbbo,4273,208291,14:18:11.9063339,14:18:11.9309830,24.6491,229.366,204.7169
1_4,nbbo,4865,236873,14:18:11.9057440,14:18:11.9311030,25.359,229.486,204.127
1_5,trade,1596,88999,14:18:11.9256760,14:18:11.9357560,10.08,222.708,212.628
1_0,trade,1837,102526,14:18:11.9255780,14:18:11.9359060,10.328,222.858,212.53
1_1,trade,1985,111896,14:18:11.9254720,14:18:11.9360830,10.611,223.035,212.424
1_7,trade,2137,119915,14:18:11.9251800,14:18:11.9361590,10.979,223.111,212.132
1_6,trade,2037,115941,14:18:11.9253659,14:18:11.9362490,10.8831,223.201,212.3179
1_2,trade,2212,123993,14:18:11.9249770,14:18:11.9363010,11.324,223.253,211.929
1_4,trade,2285,128368,14:18:11.9250850,14:18:11.9363320,11.247,223.284,212.037
1_3,trade,2188,123160,14:18:11.9252720,14:18:11.9363260,11.054,223.278,212.224
1_2,nbbo,5946,288479,14:18:12.9120120,14:18:12.9291060,17.094,221.778,204.684
1_7,nbbo,6062,293525,14:18:12.9130830,14:18:12.9385140,25.431,231.186,205.755
1_2,trade,1539,86409,14:18:12.9200379,14:18:12.9387150,18.6771,222.3441,203.667
1_7,trade,1804,103547,14:18:12.9203068,14:18:12.9387510,18.4442,222.3801,203.9359
1_3,nbbo,6280,306257,14:18:12.9135129,14:18:12.9387940,25.2811,231.466,206.1849
1_1,nbbo,5009,242365,14:18:12.9143829,14:18:12.9388100,24.4271,231.482,207.0549
1_5,nbbo,5029,244443,14:18:12.9151370,14:18:12.9388150,23.678,231.487,207.809
1_4,nbbo,8121,394051,14:18:12.9125119,14:18:12.9388180,26.3061,231.49,205.1839
1_0,nbbo,5897,285655,14:18:12.9147030,14:18:12.9388220,24.119,231.494,207.375
1_6,nbbo,4574,223143,14:18:12.9139860,14:18:12.9388990,24.913,231.571,206.658
1_1,trade,1616,91886,14:18:12.9207069,14:18:12.9389710,18.2641,222.6001,204.336
1_3,trade,1652,94008,14:18:12.9204520,14:18:12.9390060,18.554,222.6351,204.0811
1_0,trade,1598,90277,14:18:12.9208409,14:18:12.9390130,18.1721,222.6421,204.47
1_5,trade,1502,84952,14:18:12.9209730,14:18:12.9390120,18.039,222.6411,204.6021
1_4,trade,2169,124257,14:18:12.9201710,14:18:12.9390420,18.871,222.6711,203.8001
1_6,trade,1818,103115,14:18:12.9205670,14:18:12.9391880,18.621,222.8171,204.1961
1_7,nbbo,2391,116547,14:18:13.9103950,14:18:13.9234760,13.081,244.6821,231.6011
1_2,nbbo,2671,130017,14:18:13.9098299,14:18:13.9235310,13.7011,244.7371,231.036
1_4,nbbo,3107,151445,14:18:13.9100760,14:18:13.9241340,14.058,245.3401,231.2821
1_6,nbbo,1672,81505,14:18:13.9108629,14:18:13.9241510,13.2881,245.3571,232.069
1_3,nbbo,2578,125863,14:18:13.9106059,14:18:13.9244400,13.8341,245.6461,231.812
1_1,nbbo,2342,113503,14:18:13.9110980,14:18:13.9244960,13.398,245.7021,232.3041
1_7,trade,579,33230,14:18:13.9145419,14:18:13.9246040,10.0621,241.946,231.8839
1_2,trade,587,34028,14:18:13.9143530,14:18:13.9246410,10.288,241.983,231.695
1_5,nbbo,2075,100661,14:18:13.9116080,14:18:13.9246880,13.08,245.8941,232.8141
1_6,trade,478,27522,14:18:13.9147080,14:18:13.9248330,10.125,242.175,232.05
1_4,trade,776,45776,14:18:13.9144379,14:18:13.9248300,10.3921,242.172,231.7799
1_3,trade,511,29262,14:18:13.9146269,14:18:13.9249700,10.3431,242.312,231.9689
1_1,trade,636,36448,14:18:13.9147761,14:18:13.9250490,10.2729,242.391,232.1181
1_5,trade,490,28616,14:18:13.9149720,14:18:13.9253690,10.397,242.711,232.314
