kdbRecvTime,x
2023-03-02D20:45:00.000000000,25400
2023-03-02D20:45:00.250000000,33168
2023-03-02D20:45:00.500000000,34369
2023-03-02D20:45:00.750000000,12442
2023-03-02D20:45:01.000000000,25432
2023-03-02D20:45:01.250000000,33231
2023-03-02D20:45:01.500000000,21328
2023-03-02D20:45:01.750000000,50010
2023-03-02D20:45:02.000000000,53506
2023-03-02D20:45:02.250000000,15616
2023-03-02D20:45:02.500000000,67188
2023-03-02D20:45:02.750000000,18678
2023-03-02D20:45:03.000000000,10855
2023-03-02D20:45:03.250000000,20803
2023-03-02D20:45:03.500000000,17200
2023-03-02D20:45:03.750000000,23210
2023-03-02D20:45:04.000000000,14095
2023-03-02D20:45:04.250000000,18124
2023-03-02D20:45:04.500000000,11105
2023-03-02D20:45:04.750000000,6196
2023-03-02D20:45:05.000000000,24574
2023-03-02D20:45:05.250000000,7418
2023-03-02D20:45:05.500000000,7857
2023-03-02D20:45:05.750000000,9569
2023-03-02D20:45:06.000000000,16703
2023-03-02D20:45:06.250000000,21703
2023-03-02D20:45:06.500000000,12101
2023-03-02D20:45:06.750000000,5575
2023-03-02D20:45:07.000000000,5602
2023-03-02D20:45:07.250000000,9502
2023-03-02D20:45:07.500000000,7614
2023-03-02D20:45:07.750000000,10010
2023-03-02D20:45:08.000000000,33108
2023-03-02D20:45:08.250000000,25881
2023-03-02D20:45:08.500000000,16228
2023-03-02D20:45:08.750000000,11313
2023-03-02D20:45:09.000000000,8129
2023-03-02D20:45:09.250000000,8564
2023-03-02D20:45:09.500000000,10098
2023-03-02D20:45:09.750000000,16483
2023-03-02D20:45:10.000000000,6964
2023-03-02D20:45:10.250000000,14507
2023-03-02D20:45:10.500000000,17094
2023-03-02D20:45:10.750000000,10749
2023-03-02D20:45:11.000000000,5788
2023-03-02D20:45:11.250000000,13217
2023-03-02D20:45:11.500000000,7623
2023-03-02D20:45:11.750000000,8098
2023-03-02D20:45:12.000000000,8353
2023-03-02D20:45:12.250000000,4781
2023-03-02D20:45:12.500000000,10821
2023-03-02D20:45:12.750000000,7677
2023-03-02D20:45:13.000000000,4560
2023-03-02D20:45:13.250000000,17621
2023-03-02D20:45:13.500000000,22425
2023-03-02D20:45:13.750000000,10395
2023-03-02D20:45:14.000000000,24729
2023-03-02D20:45:14.250000000,15336
2023-03-02D20:45:14.500000000,6364
2023-03-02D20:45:14.750000000,5408
2023-03-02D20:45:15.000000000,12482
2023-03-02D20:45:15.250000000,7480
2023-03-02D20:45:15.500000000,17885
2023-03-02D20:45:15.750000000,17129
2023-03-02D20:45:16.000000000,8238
2023-03-02D20:45:16.250000000,6499
2023-03-02D20:45:16.500000000,10603
2023-03-02D20:45:16.750000000,18825
2023-03-02D20:45:17.000000000,11040
2023-03-02D20:45:17.250000000,8063
2023-03-02D20:45:17.500000000,8413
2023-03-02D20:45:17.750000000,5925
2023-03-02D20:45:18.000000000,9564
2023-03-02D20:45:18.250000000,20681
2023-03-02D20:45:18.500000000,9219
2023-03-02D20:45:18.750000000,21446
2023-03-02D20:45:19.000000000,41968
2023-03-02D20:45:19.250000000,18000
2023-03-02D20:45:19.500000000,11442
2023-03-02D20:45:19.750000000,12577
2023-03-02D20:45:20.000000000,18510
2023-03-02D20:45:20.250000000,12292
2023-03-02D20:45:20.500000000,10094
2023-03-02D20:45:20.750000000,6361
2023-03-02D20:45:21.000000000,4762
2023-03-02D20:45:21.250000000,12889
2023-03-02D20:45:21.500000000,7548
2023-03-02D20:45:21.750000000,20697
2023-03-02D20:45:22.000000000,23081
2023-03-02D20:45:22.250000000,38489
2023-03-02D20:45:22.500000000,6498
2023-03-02D20:45:22.750000000,13609
2023-03-02D20:45:23.000000000,6914
2023-03-02D20:45:23.250000000,5936
2023-03-02D20:45:23.500000000,7580
2023-03-02D20:45:23.750000000,5010
2023-03-02D20:45:24.000000000,6277
2023-03-02D20:45:24.250000000,7773
2023-03-02D20:45:24.500000000,6884
2023-03-02D20:45:24.750000000,4478
2023-03-02D20:45:25.000000000,4829
2023-03-02D20:45:25.250000000,14117
2023-03-02D20:45:25.500000000,8333
2023-03-02D20:45:25.750000000,5243
2023-03-02D20:45:26.000000000,5482
2023-03-02D20:45:26.250000000,6019
2023-03-02D20:45:26.500000000,6834
2023-03-02D20:45:26.750000000,6308
2023-03-02D20:45:27.000000000,17166
2023-03-02D20:45:27.250000000,6685
2023-03-02D20:45:27.500000000,10532
2023-03-02D20:45:27.750000000,4800
2023-03-02D20:45:28.000000000,4975
2023-03-02D20:45:28.250000000,8126
2023-03-02D20:45:28.500000000,17073
2023-03-02D20:45:28.750000000,13608
