kdbRecvTime,x
2023-03-02D20:45:00.000000000,4744
2023-03-02D20:45:00.250000000,4736
2023-03-02D20:45:00.500000000,5534
2023-03-02D20:45:00.750000000,3152
2023-03-02D20:45:01.000000000,5388
2023-03-02D20:45:01.250000000,2303
2023-03-02D20:45:01.500000000,3622
2023-03-02D20:45:01.750000000,18601
2023-03-02D20:45:02.000000000,7446
2023-03-02D20:45:02.250000000,522
2023-03-02D20:45:02.500000000,14041
2023-03-02D20:45:02.750000000,1384
2023-03-02D20:45:03.000000000,1584
2023-03-02D20:45:03.250000000,3328
2023-03-02D20:45:03.500000000,1121
2023-03-02D20:45:03.750000000,2178
2023-03-02D20:45:04.000000000,1582
2023-03-02D20:45:04.250000000,1660
2023-03-02D20:45:04.500000000,1580
2023-03-02D20:45:04.750000000,1222
2023-03-02D20:45:05.000000000,2796
2023-03-02D20:45:05.250000000,1257
2023-03-02D20:45:05.500000000,1017
2023-03-02D20:45:05.750000000,1146
2023-03-02D20:45:06.000000000,2333
2023-03-02D20:45:06.250000000,2985
2023-03-02D20:45:06.500000000,1061
2023-03-02D20:45:06.750000000,747
2023-03-02D20:45:07.000000000,1182
2023-03-02D20:45:07.250000000,905
2023-03-02D20:45:07.500000000,941
2023-03-02D20:45:07.750000000,1646
2023-03-02D20:45:08.000000000,4515
2023-03-02D20:45:08.250000000,3018
2023-03-02D20:45:08.500000000,1957
2023-03-02D20:45:08.750000000,1170
2023-03-02D20:45:09.000000000,1032
2023-03-02D20:45:09.250000000,1528
2023-03-02D20:45:09.500000000,1160
2023-03-02D20:45:09.750000000,1700
2023-03-02D20:45:10.000000000,1311
2023-03-02D20:45:10.250000000,1216
2023-03-02D20:45:10.500000000,1200
2023-03-02D20:45:10.750000000,1256
2023-03-02D20:45:11.000000000,817
2023-03-02D20:45:11.250000000,1981
2023-03-02D20:45:11.500000000,1141
2023-03-02D20:45:11.750000000,880
2023-03-02D20:45:12.000000000,959
2023-03-02D20:45:12.250000000,1137
2023-03-02D20:45:12.500000000,1137
2023-03-02D20:45:12.750000000,809
2023-03-02D20:45:13.000000000,888
2023-03-02D20:45:13.250000000,3627
2023-03-02D20:45:13.500000000,2056
2023-03-02D20:45:13.750000000,2726
2023-03-02D20:45:14.000000000,5118
2023-03-02D20:45:14.250000000,1658
2023-03-02D20:45:14.500000000,1142
2023-03-02D20:45:14.750000000,1289
2023-03-02D20:45:15.000000000,1530
2023-03-02D20:45:15.250000000,1161
2023-03-02D20:45:15.500000000,3040
2023-03-02D20:45:15.750000000,2412
2023-03-02D20:45:16.000000000,1402
2023-03-02D20:45:16.250000000,1245
2023-03-02D20:45:16.500000000,1446
2023-03-02D20:45:16.750000000,3746
2023-03-02D20:45:17.000000000,1141
2023-03-02D20:45:17.250000000,1221
2023-03-02D20:45:17.500000000,961
2023-03-02D20:45:17.750000000,1079
2023-03-02D20:45:18.000000000,1405
2023-03-02D20:45:18.250000000,2401
2023-03-02D20:45:18.500000000,2318
2023-03-02D20:45:18.750000000,4397
2023-03-02D20:45:19.000000000,7348
2023-03-02D20:45:19.250000000,2737
2023-03-02D20:45:19.500000000,1722
2023-03-02D20:45:19.750000000,963
2023-03-02D20:45:20.000000000,2134
2023-03-02D20:45:20.250000000,1020
2023-03-02D20:45:20.500000000,1098
2023-03-02D20:45:20.750000000,909
2023-03-02D20:45:21.000000000,934
2023-03-02D20:45:21.250000000,1564
2023-03-02D20:45:21.500000000,879
2023-03-02D20:45:21.750000000,3088
2023-03-02D20:45:22.000000000,3869
2023-03-02D20:45:22.250000000,3501
2023-03-02D20:45:22.500000000,989
2023-03-02D20:45:22.750000000,1125
2023-03-02D20:45:23.000000000,1056
2023-03-02D20:45:23.250000000,821
2023-03-02D20:45:23.500000000,645
2023-03-02D20:45:23.750000000,650
2023-03-02D20:45:24.000000000,1120
2023-03-02D20:45:24.250000000,1220
2023-03-02D20:45:24.500000000,896
2023-03-02D20:45:24.750000000,803
2023-03-02D20:45:25.000000000,840
2023-03-02D20:45:25.250000000,1576
2023-03-02D20:45:25.500000000,930
2023-03-02D20:45:25.750000000,1040
2023-03-02D20:45:26.000000000,768
2023-03-02D20:45:26.250000000,901
2023-03-02D20:45:26.500000000,917
2023-03-02D20:45:26.750000000,851
2023-03-02D20:45:27.000000000,1324
2023-03-02D20:45:27.250000000,1102
2023-03-02D20:45:27.500000000,1079
2023-03-02D20:45:27.750000000,664
2023-03-02D20:45:28.000000000,618
2023-03-02D20:45:28.250000000,1021
2023-03-02D20:45:28.500000000,2643
2023-03-02D20:45:28.750000000,1183
2023-03-02D20:45:29.000000000,838
2023-03-02D20:45:29.250000000,1118
2023-03-02D20:45:29.500000000,2129
